iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0932386079198,0.0947154371052,0.0935301504133,0.761942754563,0.765855604308,0.759352317141,0.091393033
10,0.0925583702283,0.0941199411411,0.092530356625,0.762940061833,0.765057838053,0.759724548669,1.011381318
20,0.09251546125,0.0941001096761,0.0925492665396,0.764436022739,0.764658954926,0.759724548669,1.929646296
30,0.092194203563,0.0938491794691,0.0922909197828,0.763937369103,0.765057838053,0.758980085613,2.725610654
40,0.0920075801925,0.0937151842459,0.0921524087206,0.762241946744,0.761467889908,0.756002233389,3.522460711
50,0.0911609556277,0.0925575518949,0.0913346092543,0.767627406004,0.766254487435,0.759910664433,4.324794022
60,0.0908209460368,0.0922195783659,0.0910899940862,0.767527675277,0.768248903071,0.761585706309,5.11844771
70,0.0901175609431,0.0913509006675,0.0903451272531,0.76742794455,0.768248903071,0.761027359017,5.912526004
80,0.0900570661068,0.0912882859715,0.0902949700305,0.767328213823,0.768248903071,0.761399590545,6.704156957
90,0.0895192281376,0.0906733349909,0.089656449121,0.766829560187,0.769046669326,0.761027359017,7.511273761
100,0.0889711966597,0.0903039457525,0.0890419878841,0.766131445098,0.767850019944,0.761585706309,8.309819174
110,0.0881678553144,0.0894384869983,0.0881484102193,0.766829560187,0.769046669326,0.761957937837,9.093404119
120,0.0879886430729,0.0892024920564,0.0879224773439,0.766829560187,0.768248903071,0.761771822073,9.863556819
130,0.0879123396425,0.0889652817915,0.0878187298476,0.768325521093,0.770642201835,0.764563558533,10.649381032
140,0.087751887119,0.0888487167103,0.0875998600892,0.767228483096,0.769046669326,0.763819095477,11.424747946
150,0.0875000003444,0.0890104540176,0.08751692404,0.765034407101,0.767850019944,0.761399590545,12.206119852
160,0.0874731079411,0.0889816625759,0.0873783758411,0.766330906552,0.767451136817,0.762144053601,12.993674004
170,0.0869792971846,0.0880729839445,0.0868794242616,0.766430637279,0.767850019944,0.762702400893,13.767086556
180,0.0863992978642,0.0874153395299,0.0862715349747,0.766131445098,0.768248903071,0.764005211241,14.553423264
190,0.0862550171798,0.0872300777907,0.0861104572605,0.766330906552,0.76984443558,0.764935790061,15.334043877
200,0.0856418317778,0.0868123069323,0.0855256496575,0.768225790366,0.770642201835,0.763819095477,16.12157062
210,0.0851075457282,0.0863490361325,0.0848649802305,0.769023636182,0.769046669326,0.765494137353,16.949577252
220,0.0846195795439,0.0856275184419,0.0844960436505,0.769821481999,0.771041084962,0.766052484645,17.769064904
230,0.0844311973843,0.0856253867297,0.0843367659532,0.770519597088,0.771041084962,0.767913642286,18.588266125
240,0.084251522306,0.0854993093328,0.0841453704701,0.770818789269,0.770642201835,0.767727526521,19.42130294
250,0.0840660715876,0.0853459953858,0.083966410634,0.770918519996,0.770642201835,0.76809975805,20.249674397
260,0.0834880040456,0.0847601705336,0.0833570747263,0.771915827266,0.771838851217,0.76809975805,21.075450231
270,0.0833621463522,0.0846745516153,0.0832923602372,0.771417173631,0.771041084962,0.768471989578,21.894968822
280,0.0833321129042,0.0844955265967,0.0830751756425,0.771816096539,0.771041084962,0.76903033687,22.714336771
290,0.0826191372537,0.0839768222127,0.0823391527406,0.773411788172,0.769046669326,0.768285873814,23.544771242
300,0.0824578374314,0.0837521113915,0.0821111000148,0.77381071108,0.76984443558,0.768471989578,24.367062107
310,0.0799986676535,0.0806903277955,0.0795524323862,0.779894285429,0.779816513761,0.780941745766,25.137494892
320,0.0792941642616,0.0800824754402,0.0783896740711,0.782686745786,0.780614280016,0.785036292574,25.899659336
330,0.0790288679681,0.0798010668532,0.0781749103671,0.782686745786,0.783805345034,0.78857249209,26.67549579
340,0.0787601059995,0.0796239163896,0.0779196720901,0.783384860876,0.78141204627,0.78857249209,27.446019907
350,0.0778923147309,0.0789415016043,0.07711066375,0.784980552508,0.783406461907,0.79043364973,28.218448538
360,0.0776550392312,0.0787069781099,0.0769051411461,0.785977859779,0.783805345034,0.79322538619,28.989286201
370,0.0774055019561,0.0786784413673,0.0767128826313,0.786376782687,0.784204228161,0.793039270426,29.768147498
380,0.077373546271,0.0790982143442,0.0767706684837,0.784382168146,0.784603111288,0.792108691606,30.541183899
390,0.0770981293315,0.0788436323412,0.076519838133,0.786077590506,0.786198643797,0.79322538619,31.320175802
400,0.0784967178763,0.0807857244271,0.0782054944491,0.780791861973,0.781810929398,0.785222408338,32.08963077
410,0.0761726111241,0.0775604618899,0.0754664663291,0.788670589409,0.787794176306,0.794714312302,32.921906983
420,0.0757778821335,0.0772399437074,0.0751489504299,0.790665203949,0.79018747507,0.796389354178,33.740268964
430,0.076347514989,0.0783661160679,0.0758097764914,0.789368704498,0.788990825688,0.79601712265,34.561242959
440,0.0744573185168,0.0764136978622,0.0739788035589,0.793457664306,0.792979656961,0.796203238414,35.382455087
