iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.290426438843,0.287220802461,0.288548592351,0.252717662312,0.256481850818,0.255164712451,0.0675215360001
10,0.288810113398,0.286093406636,0.286708922808,0.255609853396,0.260869565217,0.258700911967,0.842063258
20,0.29399504679,0.291357112802,0.292289011979,0.255410391942,0.257678500199,0.256095291271,1.631925817
30,0.293921799839,0.290743599435,0.292165870252,0.257405006482,0.260869565217,0.260375953843,2.455279609
40,0.294674445694,0.291797292286,0.292962528891,0.256208237758,0.259672915836,0.257770333147,3.191054733
50,0.286850294989,0.284564111331,0.285307900559,0.264785080283,0.270043877144,0.267076121347,3.95167674
60,0.285412380243,0.282997896991,0.283824574988,0.266480502643,0.270442760271,0.270984552392,4.807853565
70,0.281441200969,0.278998432475,0.279926132629,0.270070808816,0.271639409653,0.271729015448,5.607193003
80,0.279198080842,0.276663839106,0.277652527686,0.272264884811,0.274830474671,0.274892983436,6.363279261
90,0.278874665674,0.276338698668,0.277243364188,0.272464346265,0.272437175907,0.274706867672,7.087291661
100,0.2769085503,0.274386910312,0.275363462563,0.274957614441,0.27642600718,0.276754141076,7.831195283
110,0.276659346469,0.27394929729,0.27527384741,0.27465842226,0.27642600718,0.278987530244,8.611359739
120,0.274412197528,0.271931236473,0.272758223569,0.27904657425,0.28360590347,0.284198771636,9.388047663
130,0.267571568703,0.264727411012,0.265880132961,0.287025032412,0.291583566015,0.291271170668,10.216470341
140,0.262999753377,0.260352827397,0.261315006661,0.296798643662,0.302353410451,0.300576958868,11.07400195
150,0.257763490397,0.254793878556,0.256177197474,0.301984641468,0.309533306741,0.307277126373,11.952258575
160,0.247129642433,0.244726471191,0.245908446237,0.314650443802,0.323095333067,0.319188535269,12.713614281
170,0.244674527949,0.242310715394,0.243683833459,0.322429440511,0.325887514958,0.327191513121,13.481188668
180,0.240051869095,0.238025007834,0.239697035518,0.337787972474,0.339050658157,0.339847385074,14.239348553
190,0.23909846305,0.237294674789,0.238512689319,0.338984741199,0.342241723175,0.344128047646,14.989459165
200,0.213973826492,0.212057220752,0.21345534354,0.392639872345,0.392899880335,0.395495998511,15.721801129
210,0.205104345787,0.203511832963,0.204669964519,0.417672284831,0.413242919824,0.416154848316,16.436854704
220,0.201930255179,0.200298635722,0.201430615572,0.41567767029,0.414838452333,0.412990880328,17.162723763
230,0.19881048772,0.197575643661,0.198313312434,0.418270669193,0.415636218588,0.414852037968,17.891996654
240,0.198576812879,0.197131829974,0.19787727141,0.417073900469,0.413641802952,0.415968732552,18.637370374
250,0.197206544751,0.195678792336,0.196553376708,0.423656128453,0.423214998006,0.426205099572,19.385010647
260,0.192640943896,0.19165870471,0.191838987251,0.435224892789,0.437175907459,0.441838823748,20.169943894
270,0.192667081138,0.191693954471,0.191848048672,0.434925700608,0.438771439968,0.441838823748,20.914779762
280,0.189872756566,0.189362610745,0.189096508346,0.440510621322,0.44435580375,0.447050065141,21.663494007
290,0.188451660096,0.188011414103,0.187701666051,0.437817891692,0.445552453131,0.446305602084,22.425689078
300,0.18738998393,0.18700277288,0.186433288304,0.438216814601,0.445552453131,0.448352875489,23.168071289
310,0.185423890477,0.185246360036,0.184393591859,0.441707390047,0.447546868767,0.448538991253,23.901280985
320,0.179458328079,0.180041556014,0.178975067928,0.454572653835,0.456721180694,0.457844779453,24.651891461
330,0.178145978142,0.178780227291,0.177777419942,0.458262690735,0.456721180694,0.459705937093,25.458803718
340,0.181632405476,0.18245010723,0.18113671984,0.449087463848,0.448743518149,0.450027917365,26.202577225
350,0.176757401742,0.177368717965,0.176442049133,0.464545726538,0.462704427603,0.462125442025,26.946130311
360,0.180065552839,0.18058286044,0.179616571361,0.457664306373,0.452732349422,0.458775358273,27.703491341
370,0.170326315181,0.171615518917,0.17081306391,0.485189987035,0.478260869565,0.477945281965,28.486681291
380,0.168355250753,0.169495333992,0.168684518088,0.489578139025,0.483446350219,0.484087102178,29.284027176
390,0.16328266443,0.163858073344,0.163217941079,0.50184501845,0.501794974073,0.49767355295,30.068497687
400,0.162207945341,0.16279247492,0.162106811439,0.507429939164,0.504587155963,0.50139586823,30.889033849
410,0.158227956743,0.159026172076,0.158150863088,0.519397626409,0.517750299162,0.515912897822,31.746600521
420,0.155921011376,0.156533635005,0.15588493685,0.525880123666,0.524132429198,0.523915875675,32.71172457
430,0.159040144559,0.159379444234,0.158892951502,0.522589009674,0.522138013562,0.519076865811,33.594682602
440,0.152140122505,0.152582421992,0.152389219573,0.540440809814,0.542481053051,0.537688442211,34.429156602
450,0.150479226018,0.151171369316,0.150913603036,0.547421960706,0.545672118069,0.540666294435,35.362281724
460,0.146864593112,0.147761234867,0.147415214367,0.552907150693,0.55564419625,0.547738693467,36.192041922
470,0.14581422081,0.146408811486,0.146545688272,0.553106612147,0.556441962505,0.549227619579,37.071176698
480,0.145349297044,0.145937632494,0.146075731117,0.553605265782,0.556441962505,0.549785966871,37.933987251
