iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.119925730752,0.119864212037,0.119858424001,0.760147601476,0.760271240527,0.760282895961,0.274032285
10,0.0631419686485,0.0719311506738,0.0675454044397,0.829759648948,0.814120462704,0.826912339475,2.806693323
20,0.0509908023258,0.0665427734844,0.065741381694,0.852498254712,0.823693657758,0.823748371487,5.413465648
30,0.0462589348446,0.0654389009777,0.0651815003186,0.867457863768,0.824491424013,0.820212171971,8.010153349
40,0.0434971905686,0.0654863236396,0.0645282471406,0.874139822479,0.823693657758,0.822073329611,10.490196881
50,0.0417144515925,0.0648447718543,0.0638544913768,0.879325820285,0.823294774631,0.823376139959,12.842371825
60,0.0404718770441,0.0642388773693,0.0636527101495,0.88321531864,0.822497008377,0.825237297599,15.322218473
70,0.0397031585428,0.0640376424276,0.0634367052161,0.886705894086,0.825688073394,0.826540107947,17.839442588
80,0.0390163239505,0.0637444312989,0.0636177550602,0.887802932083,0.826485839649,0.826540107947,20.277151757
90,0.0385847992845,0.0638621845326,0.0632819621918,0.888501047173,0.826485839649,0.827284571003,23.116970363
100,0.0382531500055,0.0638636818138,0.0632360823715,0.889099431535,0.828480255285,0.829145728643,25.571377444
110,0.0379656348828,0.0638026293189,0.0631857869248,0.890296200259,0.830474670921,0.831006886283,27.9404781
120,0.0377016124718,0.0636629489227,0.0630197499713,0.890296200259,0.830075787794,0.830076307463,30.322761404
130,0.037478478843,0.063433338127,0.0631067486081,0.891492968984,0.830873554049,0.830076307463,33.084916866
140,0.0372484328286,0.0634271793534,0.063129010762,0.891891891892,0.830075787794,0.831193002047,35.448518355
150,0.0370264059179,0.0635271746485,0.0632120198177,0.892091353346,0.828879138412,0.831937465103,37.725647592
160,0.036820851312,0.0635061481438,0.063187833104,0.893587314252,0.828081372158,0.832123580867,40.108804852
170,0.0366684774565,0.0637003418588,0.0630229112941,0.894484890795,0.82927802154,0.831751349339,42.933240077
180,0.0364677706965,0.0641299333126,0.0631070967549,0.895282736611,0.827682489031,0.830448538991,45.200951884
190,0.0363872838262,0.0639399507466,0.0632007252332,0.895482198065,0.827283605903,0.830448538991,47.488856863
200,0.0361967890769,0.0638408865921,0.0633196648082,0.895881120973,0.828081372158,0.831193002047,49.829831983
210,0.0360740734737,0.0638855358265,0.063300962161,0.896878428244,0.827682489031,0.830820770519,52.089440768
220,0.0359667041011,0.0637616130308,0.0631043352686,0.896878428244,0.828879138412,0.831751349339,54.316556587
230,0.0358339799039,0.0637887168459,0.06305693868,0.898075196968,0.826884722776,0.830820770519,56.597826487
240,0.0357412493891,0.0638556146511,0.0630718857008,0.898873042784,0.826485839649,0.831006886283,58.879778134
250,0.0356625925513,0.0638288356841,0.0632758722072,0.898773312057,0.826485839649,0.831751349339,61.31947091
260,0.0355966718842,0.0640292925269,0.0633719302571,0.899072504239,0.825289190267,0.831379117811,63.588856058
270,0.03551309616,0.0640426176044,0.0635504611093,0.898873042784,0.82489030714,0.830448538991,65.845008161
280,0.0355107055669,0.0638808543096,0.0635749659715,0.89867358133,0.82489030714,0.830634654755,68.109408865
290,0.0355363381226,0.0640655425079,0.0636664729853,0.897476812606,0.826086956522,0.830634654755,70.376350263
300,0.0354220152153,0.0644028955155,0.0639405856964,0.898075196968,0.824491424013,0.830262423227,72.633351765
310,0.0353503848937,0.0640800191584,0.0639311337853,0.898873042784,0.82489030714,0.830076307463,74.92326259
320,0.035258539069,0.0640304551152,0.06390087271,0.898873042784,0.824092540886,0.829517960171,77.206972564
330,0.035184557213,0.0640221682682,0.0637820078356,0.89937169642,0.824092540886,0.829890191699,79.508629999
340,0.0351864231811,0.064102102758,0.0639097185367,0.898474119876,0.822895891504,0.829704075935,81.770730614
350,0.0350999745354,0.0642265913138,0.0639069157001,0.898773312057,0.823294774631,0.829704075935,84.034311752
360,0.0350979210726,0.0644408403946,0.0639609749075,0.899172234966,0.822895891504,0.830076307463,86.309011866
370,0.0350204728538,0.0645478595204,0.0639820352925,0.899670888601,0.822895891504,0.830448538991,88.586748137
380,0.034952260026,0.0646278447339,0.0640666299993,0.899172234966,0.823693657758,0.830076307463,90.82561525
390,0.0349038403046,0.0646404358567,0.0640171812123,0.89937169642,0.822895891504,0.829890191699,93.241166007
400,0.0348675901398,0.0646540437009,0.0640735935449,0.899571157874,0.822895891504,0.830820770519,95.941466357
410,0.0348303252191,0.0646277788041,0.0640199077975,0.899670888601,0.823294774631,0.830820770519,98.95587043
420,0.034775996213,0.0648414682252,0.064229634743,0.899670888601,0.822895891504,0.830448538991,101.498763869
430,0.0347357989064,0.0646858426155,0.0641280164487,0.900069811509,0.822497008377,0.830448538991,104.086405103
440,0.03470229057,0.0646120043954,0.0640466367121,0.899770619328,0.82489030714,0.830820770519,106.523978115
450,0.0346552722776,0.0647438417721,0.0643490982416,0.899870350055,0.822497008377,0.830820770519,108.984281845
460,0.0346329515615,0.0646512245066,0.0643224837715,0.899571157874,0.822895891504,0.830262423227,111.418752361
470,0.0346411391226,0.0646450087912,0.0644300822532,0.899670888601,0.823693657758,0.831006886283,113.916992728
480,0.0345651898657,0.0646861717425,0.0645055529901,0.899870350055,0.823693657758,0.830820770519,116.302717204
490,0.0345341073802,0.0648975280828,0.0646940874222,0.90036900369,0.825289190267,0.829704075935,119.047806811
500,0.034510885405,0.064654049434,0.0645455617032,0.899970080782,0.82489030714,0.829704075935,121.4580151
510,0.0344979766854,0.064693087366,0.0645940690347,0.900169542236,0.825289190267,0.830448538991,124.195646984
520,0.0344664108503,0.0646449938104,0.0645714439281,0.900169542236,0.82489030714,0.829704075935,126.467299078
530,0.0344398994968,0.0646778682897,0.0646164713965,0.900568465144,0.824491424013,0.830262423227,128.708739215
540,0.0344218305023,0.0646628804871,0.0646847646166,0.900468734417,0.82489030714,0.830076307463,131.051906263
550,0.0344013779632,0.0647013247784,0.0647207578347,0.900668195871,0.824491424013,0.829704075935,133.374009161
560,0.0343939404899,0.0647619579624,0.0648002033252,0.900867657325,0.82489030714,0.830076307463,135.906360138
570,0.0343710759693,0.0647691234366,0.0647696816265,0.90036900369,0.823693657758,0.829145728643,138.26346995
580,0.034337393369,0.0649175451534,0.0648760177575,0.900767926598,0.824092540886,0.829890191699,140.630808199
