iterations,fitness,time,fevals
0,550.0,10.014080742,1000
10,575.0,19.797011872,2100
20,595.0,29.098566654,3200
30,631.0,38.184690676,4300
40,632.0,47.051793005,5400
50,669.0,55.534103279,6500
60,672.0,63.931449555,7600
70,704.0,72.206403287,8700
80,716.0,80.171934059,9800
90,734.0,88.210485068,10900
100,725.0,96.063337082,12000
110,730.0,103.943428688,13100
120,736.0,111.58725797,14200
130,750.0,119.181498694,15300
140,758.0,126.707457008,16400
150,752.0,134.174151633,17500
160,762.0,141.641561746,18600
170,768.0,148.957126524,19700
180,780.0,156.156577691,20800
190,784.0,163.537697127,21900
200,786.0,170.655169508,23000
210,784.0,177.695259436,24100
220,794.0,184.388250244,25200
230,792.0,190.957461293,26300
240,792.0,197.499420352,27400
250,790.0,204.0411617,28500
260,786.0,210.592895445,29600
270,790.0,217.1629405,30700
280,794.0,223.84643122,31800
290,794.0,230.433727117,32900
300,808.0,236.982055913,34000
310,798.0,243.497299049,35100
320,802.0,250.020274705,36200
330,802.0,256.480548538,37300
340,806.0,262.963661822,38400
350,797.0,269.397237966,39500
360,794.0,275.901010323,40600
370,798.0,282.5250521,41700
380,798.0,289.170618683,42800
390,796.0,295.702196603,43900
400,796.0,302.222535675,45000
410,792.0,308.786688349,46100
420,802.0,315.286241443,47200
430,796.0,321.747686969,48300
440,792.0,328.258617486,49400
450,804.0,334.797089908,50500
460,804.0,341.337177102,51600
470,808.0,347.747790901,52700
480,804.0,354.215943123,53800
490,800.0,360.669915777,54900
500,810.0,367.172519722,56000
510,798.0,373.671749716,57100
520,800.0,380.217163684,58200
530,802.0,386.787198894,59300
540,799.0,393.363341276,60400
550,810.0,400.041350601,61500
560,798.0,406.654123263,62600
570,792.0,413.244092211,63700
580,812.0,419.827079136,64800
590,806.0,426.319374878,65900
600,793.0,432.924818712,67000
610,818.0,439.47928422,68100
620,804.0,446.032476656,69200
630,810.0,452.57130354,70300
640,812.0,459.161746563,71400
650,808.0,465.591139547,72500
660,820.0,472.009040236,73600
670,816.0,478.369212507,74700
680,812.0,484.82013905,75800
690,802.0,491.338334577,76900
700,812.0,497.895484077,78000
710,810.0,504.394691825,79100
720,808.0,510.911409698,80200
