iterations,fitness,time,fevals
0,18.0,0.065190588,1000
10,20.0,0.129895191,2100
20,22.0,0.191581299,3200
30,26.0,0.251579276,4300
40,20.0,0.313792279,5400
50,26.0,0.375360935,6500
60,25.0,0.438641922,7600
70,27.0,0.499937977,8700
80,27.0,0.561819781,9800
90,26.0,0.622759891,10900
100,31.0,0.68192248,12000
110,31.0,0.73988154,13100
120,36.0,0.800802359,14200
130,32.0,0.860973707,15300
140,31.0,0.920628596,16400
150,31.0,0.978352389,17500
160,30.0,1.034358056,18600
170,36.0,1.091688697,19700
180,34.0,1.148801726,20800
190,35.0,1.210138523,21900
200,33.0,1.266834667,23000
210,31.0,1.326439183,24100
220,39.0,1.383714869,25200
230,38.0,1.441840026,26300
240,40.0,1.500355932,27400
250,36.0,1.557563942,28500
260,43.0,1.613274474,29600
270,40.0,1.670569477,30700
280,49.0,1.726387096,31800
290,48.0,1.779976957,32900
300,51.0,1.834211395,34000
310,45.0,1.888027598,35100
320,48.0,1.940488183,36200
330,49.0,1.994219734,37300
340,49.0,2.047755171,38400
350,45.0,2.102602342,39500
360,53.0,2.153469414,40600
370,50.0,2.205160523,41700
380,55.0,2.256488921,42800
390,55.0,2.308895174,43900
400,50.0,2.36055464,45000
410,51.0,2.413300324,46100
420,50.0,2.47262645,47200
430,50.0,2.523692311,48300
440,51.0,2.576269603,49400
450,51.0,2.629737217,50500
460,52.0,2.681122849,51600
470,56.0,2.733887844,52700
480,59.0,2.7905849,53800
490,55.0,2.842506272,54900
500,59.0,2.900174125,56000
510,51.0,2.948581211,57100
520,53.0,2.997141944,58200
530,55.0,3.045796494,59300
540,55.0,3.096810434,60400
550,56.0,3.143743249,61500
560,56.0,3.192579358,62600
570,56.0,3.241436678,63700
580,55.0,3.289423999,64800
590,57.0,3.33941323,65900
600,57.0,3.386817159,67000
610,55.0,3.435724612,68100
620,55.0,3.483562066,69200
630,56.0,3.531286872,70300
640,57.0,3.580338029,71400
650,56.0,3.629075062,72500
660,58.0,3.676285671,73600
670,56.0,3.724999691,74700
680,55.0,3.774201505,75800
690,56.0,3.825649202,76900
700,56.0,3.877791621,78000
710,57.0,3.928228347,79100
720,56.0,3.979658652,80200
730,56.0,4.026414506,81300
740,57.0,4.075022422,82400
750,59.0,4.122936381,83500
760,57.0,4.171715359,84600
770,56.0,4.22191234,85700
780,59.0,4.276604158,86800
790,57.0,4.326344768,87900
800,57.0,4.37650435,89000
810,61.0,4.425388682,90100
820,54.0,4.472112863,91200
830,56.0,4.520702542,92300
840,55.0,4.579313482,93400
850,54.0,4.627446511,94500
860,55.0,4.676802395,95600
870,53.0,4.724579772,96700
880,56.0,4.77566515,97800
890,53.0,4.824262889,98900
900,57.0,4.874928681,100000
910,54.0,4.925945586,101100
920,55.0,4.974751907,102200
930,49.0,5.024926062,103300
940,49.0,5.073096402,104400
950,53.0,5.121735077,105500
960,53.0,5.170238133,106600
970,54.0,5.216919059,107700
980,50.0,5.272041735,108800
990,54.0,5.320296871,109900
1000,52.0,5.366759932,111000
1010,52.0,5.414544166,112100
1020,53.0,5.463732894,113200
1030,55.0,5.511228367,114300
1040,54.0,5.558950591,115400
1050,53.0,5.604396679,116500
1060,57.0,5.651223289,117600
1070,54.0,5.699186994,118700
1080,57.0,5.746380064,119800
1090,53.0,5.798262297,120900
1100,53.0,5.851008456,122000
1110,53.0,5.90270729,123100
1120,54.0,5.951319505,124200
1130,53.0,5.999361168,125300
1140,54.0,6.048605247,126400
1150,54.0,6.100075523,127500
1160,53.0,6.147430773,128600
1170,53.0,6.194298099,129700
1180,54.0,6.242500805,130800
1190,55.0,6.289246101,131900
1200,54.0,6.335651525,133000
1210,54.0,6.380622691,134100
1220,54.0,6.42732977,135200
1230,50.0,6.474622992,136300
1240,50.0,6.522212317,137400
1250,48.0,6.575954999,138500
1260,54.0,6.622832866,139600
1270,53.0,6.675773041,140700
1280,53.0,6.721925585,141800
1290,51.0,6.773447455,142900
1300,55.0,6.830527944,144000
1310,53.0,6.884529029,145100
1320,55.0,6.934325675,146200
1330,50.0,6.984833741,147300
1340,51.0,7.04141288,148400
1350,49.0,7.096435546,149500
1360,54.0,7.144079168,150600
1370,49.0,7.192592592,151700
1380,51.0,7.242217475,152800
1390,48.0,7.290576043,153900
1400,53.0,7.337611652,155000
1410,48.0,7.384915106,156100
1420,48.0,7.436057676,157200
1430,51.0,7.490290473,158300
1440,52.0,7.539642045,159400
1450,56.0,7.592639022,160500
1460,53.0,7.640316386,161600
1470,55.0,7.688730862,162700
1480,53.0,7.736341109,163800
1490,53.0,7.783142916,164900
1500,53.0,7.833736339,166000
1510,55.0,7.882514002,167100
1520,53.0,7.930627409,168200
1530,53.0,7.985866917,169300
1540,53.0,8.043934459,170400
1550,54.0,8.091396662,171500
1560,54.0,8.142677979,172600
1570,52.0,8.189914144,173700
1580,60.0,8.245834269,174800
1590,50.0,8.297351317,175900
1600,50.0,8.346092623,177000
1610,52.0,8.395283878,178100
1620,51.0,8.443222088,179200
1630,50.0,8.491361898,180300
1640,52.0,8.554153732,181400
1650,49.0,8.605565817,182500
1660,50.0,8.65540509,183600
1670,49.0,8.705218795,184700
1680,50.0,8.75943297,185800
1690,47.0,8.809620083,186900
1700,47.0,8.859032571,188000
1710,48.0,8.907801484,189100
1720,47.0,8.956923641,190200
1730,48.0,9.004701342,191300
1740,49.0,9.062600164,192400
1750,48.0,9.120548828,193500
1760,51.0,9.168432769,194600
1770,53.0,9.219920546,195700
1780,52.0,9.267610098,196800
1790,53.0,9.313883009,197900
1800,54.0,9.359286965,199000
1810,54.0,9.405528284,200100
1820,54.0,9.451986941,201200
1830,54.0,9.497828846,202300
1840,54.0,9.542247404,203400
1850,54.0,9.586939509,204500
1860,54.0,9.628147084,205600
1870,54.0,9.670830785,206700
1880,54.0,9.713712948,207800
1890,53.0,9.760292573,208900
1900,53.0,9.806501022,210000
1910,53.0,9.847490951,211100
1920,53.0,9.889505427,212200
1930,54.0,9.929641239,213300
1940,54.0,9.970608967,214400
1950,53.0,10.012449428,215500
1960,55.0,10.053674874,216600
1970,53.0,10.095064482,217700
1980,53.0,10.136528059,218800
1990,54.0,10.179297115,219900
2000,54.0,10.222655442,221000
2010,54.0,10.26903812,222100
2020,55.0,10.315458592,223200
2030,55.0,10.35949001,224300
2040,55.0,10.402571337,225400
2050,54.0,10.45829703,226500
2060,54.0,10.514506644,227600
2070,56.0,10.562117604,228700
2080,56.0,10.616609313,229800
2090,54.0,10.664301708,230900
2100,55.0,10.712334401,232000
2110,54.0,10.763037762,233100
2120,53.0,10.816865291,234200
2130,54.0,10.871286625,235300
2140,52.0,10.924408643,236400
2150,54.0,10.973823856,237500
2160,58.0,11.023818562,238600
2170,53.0,11.072977622,239700
2180,54.0,11.129497014,240800
2190,57.0,11.183457278,241900
2200,53.0,11.23614385,243000
2210,52.0,11.283392428,244100
2220,52.0,11.340851578,245200
2230,53.0,11.387262477,246300
2240,52.0,11.433891728,247400
2250,52.0,11.479100974,248500
2260,52.0,11.532433981,249600
2270,53.0,11.578765684,250700
