iterations,fitness,time,fevals
0,17.0,0.000577592000001,723
10,17.0,0.001048979,1348
20,18.0,0.001475444,1981
30,19.0,0.001984797,2597
40,19.0,0.002424146,3229
50,22.0,0.002850381,3865
60,22.0,0.003244066,4502
70,23.0,0.003652186,5139
80,23.0,0.004051598,5763
90,23.0,0.004432,6401
100,24.0,0.004839791,7020
110,25.0,0.005219093,7652
120,24.0,0.005585015,8283
130,24.0,0.005955742,8915
140,25.0,0.006318525,9555
150,25.0,0.006714772,10188
160,25.0,0.007099883,10815
170,25.0,0.007718897,11455
180,26.0,0.008096998,12089
190,26.0,0.008475005,12719
200,25.0,0.008861571,13367
210,25.0,0.009231658,13994
220,26.0,0.009608284,14633
230,28.0,0.009986489,15271
240,28.0,0.010354339,15903
250,28.0,0.0107229,16545
260,28.0,0.011207163,17181
270,28.0,0.011616538,17818
280,30.0,0.011986855,18443
290,31.0,0.012343987,19079
300,31.0,0.012708067,19711
310,31.0,0.013074552,20350
320,31.0,0.013443026,20968
330,31.0,0.013808203,21599
340,32.0,0.014169554,22225
350,32.0,0.014534946,22867
360,32.0,0.01488955,23499
370,32.0,0.015271876,24120
380,33.0,0.015629266,24746
390,33.0,0.015986266,25377
400,32.0,0.016344581,26004
410,32.0,0.016987765,26638
420,32.0,0.017442616,27266
430,32.0,0.018004798,27898
440,32.0,0.018357339,28527
450,32.0,0.018696796,29159
460,36.0,0.019038937,29781
470,36.0,0.019387297,30395
480,37.0,0.019739503,31023
490,37.0,0.020076722,31658
500,37.0,0.020491216,32277
510,37.0,0.020894443,32907
520,37.0,0.021304763,33537
530,37.0,0.021797071,34172
540,36.0,0.022187741,34801
550,38.0,0.022585888,35446
560,38.0,0.022973328,36070
570,38.0,0.023428206,36706
580,38.0,0.023870064,37335
590,39.0,0.024269786,37960
600,39.0,0.024783553,38592
610,39.0,0.025151272,39229
620,38.0,0.025619163,39863
630,39.0,0.025975787,40495
640,39.0,0.026335357,41123
650,40.0,0.026705295,41754
660,40.0,0.027066393,42398
670,40.0,0.027420398,43027
680,40.0,0.027780622,43654
690,40.0,0.028140945,44281
700,40.0,0.028506275,44908
710,40.0,0.02887167,45542
720,40.0,0.029237101,46184
730,40.0,0.029608233,46820
740,40.0,0.029995191,47463
750,40.0,0.030354278,48096
760,40.0,0.030711319,48736
770,40.0,0.031070803,49358
780,42.0,0.031440163,50000
790,40.0,0.0317944,50628
800,40.0,0.032143438,51252
810,40.0,0.032497285,51882
820,40.0,0.032850668,52507
830,40.0,0.033202065,53137
840,42.0,0.033542904,53759
850,42.0,0.034020832,54381
860,42.0,0.034373936,55017
870,40.0,0.034717809,55635
880,40.0,0.035062684,56274
890,40.0,0.035405227,56917
900,40.0,0.035750642,57542
910,40.0,0.036099917,58171
920,42.0,0.036438355,58798
930,42.0,0.036794445,59436
940,42.0,0.03713733,60068
950,42.0,0.037485262,60698
960,45.0,0.037825813,61330
970,42.0,0.038173718,61964
980,42.0,0.038538998,62599
990,42.0,0.038971757,63236
1000,42.0,0.039399068,63877
1010,43.0,0.03976803,64510
1020,42.0,0.040172062,65143
1030,42.0,0.040552332,65771
1040,42.0,0.040933097,66410
1050,42.0,0.04130452,67051
1060,42.0,0.041689712,67680
1070,42.0,0.042055957,68310
1080,42.0,0.042509767,68936
1090,42.0,0.042901531,69561
1100,42.0,0.043285029,70204
1110,42.0,0.043689627,70839
1120,42.0,0.044107701,71466
1130,42.0,0.044485606,72094
1140,42.0,0.044858483,72731
1150,42.0,0.04521981,73367
1160,42.0,0.045588412,74001
1170,42.0,0.045943961,74633
1180,42.0,0.046310354,75270
1190,42.0,0.046673195,75901
1200,42.0,0.047032673,76544
1210,42.0,0.048705432,77170
1220,45.0,0.049058436,77799
1230,45.0,0.049404088,78432
1240,45.0,0.049754922,79077
1250,45.0,0.050102533,79713
1260,46.0,0.050582464,80361
1270,45.0,0.050972716,80981
1280,46.0,0.051468981,81617
1290,45.0,0.051916978,82248
1300,45.0,0.052330915,82881
1310,46.0,0.052728864,83507
1320,46.0,0.053093892,84143
1330,46.0,0.053457703,84768
1340,48.0,0.053855897,85400
1350,48.0,0.05430725,86018
1360,48.0,0.054732423,86659
1370,48.0,0.055156453,87279
1380,48.0,0.05567597,87934
1390,48.0,0.056057185,88562
1400,48.0,0.056427309,89184
1410,49.0,0.056803588,89820
1420,48.0,0.057176786,90442
1430,49.0,0.05754698,91080
1440,49.0,0.057902319,91709
1450,49.0,0.058237633,92334
1460,49.0,0.058575098,92962
1470,50.0,0.058996164,93589
1480,50.0,0.059339997,94211
1490,49.0,0.059688081,94839
1500,49.0,0.060029385,95471
1510,50.0,0.060373255,96110
1520,50.0,0.060713477,96745
1530,50.0,0.061059406,97374
1540,49.0,0.061419315,98003
1550,49.0,0.06177389,98626
1560,49.0,0.062136107,99265
1570,50.0,0.062500645,99899
1580,50.0,0.062914155,100525
1590,50.0,0.063274423,101154
1600,53.0,0.063655091,101784
1610,53.0,0.064003805,102410
1620,53.0,0.064372688,103040
1630,53.0,0.064741942,103678
1640,53.0,0.065224612,104303
1650,53.0,0.06565734,104919
1660,53.0,0.066004267,105552
1670,53.0,0.066400368,106202
1680,53.0,0.066766491,106841
1690,56.0,0.067196079,107481
1700,56.0,0.067554641,108117
1710,56.0,0.068017544,108742
1720,50.0,0.06839264,109365
1730,50.0,0.06873225,109992
1740,50.0,0.06907446,110619
1750,50.0,0.069413162,111245
1760,50.0,0.069756574,111874
1770,55.0,0.070090314,112518
1780,55.0,0.070460552,113148
1790,55.0,0.070810325,113787
1800,55.0,0.071142841,114409
1810,55.0,0.071476788,115044
1820,55.0,0.071807967,115680
1830,55.0,0.072142341,116299
1840,55.0,0.072475648,116926
1850,55.0,0.072814626,117557
1860,56.0,0.073145851,118174
1870,55.0,0.073486474,118804
1880,55.0,0.073820543,119434
1890,55.0,0.074151324,120055
1900,55.0,0.074488675,120681
1910,56.0,0.074833011,121309
1920,55.0,0.075159914,121937
1930,55.0,0.075494129,122551
1940,55.0,0.075830722,123186
1950,55.0,0.076153155,123796
1960,55.0,0.076488064,124427
1970,55.0,0.076837999,125054
1980,55.0,0.07717411,125690
1990,55.0,0.077512454,126321
2000,55.0,0.077859905,126970
2010,56.0,0.078210977,127605
2020,55.0,0.078565602,128231
2030,56.0,0.078905406,128853
2040,56.0,0.079244555,129480
2050,56.0,0.079584073,130108
2060,56.0,0.079920768,130752
2070,56.0,0.080254785,131384
2080,56.0,0.080579954,132021
2090,55.0,0.080910212,132641
2100,55.0,0.08124381,133268
2110,56.0,0.081580309,133920
2120,56.0,0.081908117,134537
2130,56.0,0.08224392,135175
2140,56.0,0.082659804,135801
2150,57.0,0.083036223,136425
2160,56.0,0.083442265,137060
2170,57.0,0.08385593,137696
2180,57.0,0.084229821,138329
2190,57.0,0.084599003,138960
2200,57.0,0.085011633,139595
2210,58.0,0.085412728,140220
2220,58.0,0.085786666,140848
2230,58.0,0.086160537,141471
2240,62.0,0.086537422,142109
2250,58.0,0.086964964,142751
2260,57.0,0.08730906,143382
2270,57.0,0.087643884,144009
2280,59.0,0.087995945,144635
2290,59.0,0.088344038,145268
2300,59.0,0.088688376,145890
2310,59.0,0.08902753,146516
2320,57.0,0.08936029,147133
2330,59.0,0.089745027,147764
2340,62.0,0.090086128,148404
2350,59.0,0.090429184,149043
2360,59.0,0.090795885,149679
2370,59.0,0.091291033,150313
2380,59.0,0.091702451,150944
2390,59.0,0.092088699,151571
2400,62.0,0.092441013,152217
2410,62.0,0.092813901,152845
2420,62.0,0.093162895,153480
2430,62.0,0.093544988,154122
2440,62.0,0.093900493,154744
2450,62.0,0.0942248,155374
2460,65.0,0.094542759,155997
2470,62.0,0.094856769,156620
2480,62.0,0.095177338,157250
2490,62.0,0.095587609,157891
2500,62.0,0.095906864,158514
2510,65.0,0.096230868,159136
2520,67.0,0.096555601,159775
2530,68.0,0.096875283,160400
2540,69.0,0.09720832,161029
2550,72.0,0.09752713,161665
2560,72.0,0.097842405,162271
2570,72.0,0.098159711,162897
2580,72.0,0.098475432,163530
2590,72.0,0.098779586,164156
2600,72.0,0.099090432,164788
2610,72.0,0.099400698,165423
2620,73.0,0.099710895,166038
2630,72.0,0.100033196,166671
2640,72.0,0.10035782,167293
2650,73.0,0.100674653,167917
2660,73.0,0.10099751,168538
2670,73.0,0.101372467,169180
2680,73.0,0.101712424,169809
2690,73.0,0.102065986,170446
2700,73.0,0.102389149,171076
2710,73.0,0.102713845,171705
2720,73.0,0.10304153,172331
2730,74.0,0.103365862,172964
2740,74.0,0.103688569,173592
2750,74.0,0.104010804,174226
2760,74.0,0.104329484,174838
2770,74.0,0.104656932,175473
2780,74.0,0.104991624,176109
2790,74.0,0.105311974,176732
2800,74.0,0.105624744,177369
2810,74.0,0.105941893,177999
2820,75.0,0.106256188,178616
2830,75.0,0.106577414,179249
2840,75.0,0.106902098,179883
2850,75.0,0.107221562,180510
2860,75.0,0.107541558,181130
2870,75.0,0.107861268,181756
2880,75.0,0.108184125,182380
2890,74.0,0.108511051,183019
2900,74.0,0.108839763,183658
2910,74.0,0.109167132,184294
2920,74.0,0.109507874,184925
2930,74.0,0.109827357,185556
2940,74.0,0.11015585,186192
2950,74.0,0.110484951,186818
2960,74.0,0.1108008,187446
2970,75.0,0.111120375,188079
2980,75.0,0.111443189,188702
2990,75.0,0.111768198,189341
3000,75.0,0.112084107,189980
3010,75.0,0.11239916,190623
3020,74.0,0.112714142,191246
3030,74.0,0.113041492,191887
3040,74.0,0.113377522,192520
3050,74.0,0.113756337,193167
3060,74.0,0.114116584,193802
3070,73.0,0.114484556,194434
3080,74.0,0.114815416,195073
3090,73.0,0.115153845,195695
3100,74.0,0.115481919,196321
3110,74.0,0.115800889,196955
3120,74.0,0.116196465,197595
3130,74.0,0.116568052,198222
3140,74.0,0.116928173,198864
3150,74.0,0.117440307,199492
3160,74.0,0.117750335,200107
3170,74.0,0.11811546,200736
3180,74.0,0.118554637,201361
3190,74.0,0.118871987,201984
3200,74.0,0.119190282,202615
3210,75.0,0.119512369,203247
3220,75.0,0.119851241,203869
3230,74.0,0.120179644,204507
3240,74.0,0.120499607,205142
3250,74.0,0.120815301,205781
3260,74.0,0.121109801,206399
3270,74.0,0.121499701,207036
3280,74.0,0.12188495,207654
3290,74.0,0.122251696,208304
3300,74.0,0.122566289,208932
3310,75.0,0.122883952,209563
3320,74.0,0.123203201,210203
3330,74.0,0.123559367,210830
3340,72.0,0.123912981,211463
3350,72.0,0.124244622,212086
3360,72.0,0.124578542,212715
3370,72.0,0.124925485,213345
3380,72.0,0.125291292,213965
3390,72.0,0.125641657,214594
3400,72.0,0.12599186,215219
3410,72.0,0.126454479,215843
3420,72.0,0.126811098,216469
3430,72.0,0.127147781,217104
3440,73.0,0.127477065,217740
3450,74.0,0.127804013,218378
3460,72.0,0.128123008,219015
3470,73.0,0.128438482,219651
3480,72.0,0.128766673,220291
3490,74.0,0.129130003,220919
3500,74.0,0.129543957,221546
3510,74.0,0.129923583,222178
3520,74.0,0.130350962,222801
3530,74.0,0.130784174,223437
3540,72.0,0.131142757,224067
3550,72.0,0.131471901,224702
3560,74.0,0.131953793,225329
3570,74.0,0.132307645,225957
3580,74.0,0.132654412,226591
3590,74.0,0.132983033,227226
3600,74.0,0.133312291,227852
3610,74.0,0.133641141,228487
3620,76.0,0.133968158,229132
3630,76.0,0.134287635,229750
3640,76.0,0.134616877,230387
3650,76.0,0.134943358,231025
3660,76.0,0.135265472,231666
3670,76.0,0.135590241,232305
3680,76.0,0.135913877,232938
3690,75.0,0.136241205,233566
3700,76.0,0.136564544,234189
3710,76.0,0.136880807,234816
3720,76.0,0.137199154,235453
3730,76.0,0.137525638,236095
3740,76.0,0.137854127,236717
3750,75.0,0.138181719,237340
3760,76.0,0.138516758,237968
3770,76.0,0.138843744,238599
3780,76.0,0.139177181,239227
3790,76.0,0.139497822,239862
3800,76.0,0.139818812,240494
3810,76.0,0.140143914,241140
3820,76.0,0.140514791,241770
3830,76.0,0.140922934,242400
3840,76.0,0.141258301,243024
3850,76.0,0.141588548,243658
3860,76.0,0.141920357,244298
3870,76.0,0.142253382,244920
3880,76.0,0.142609364,245557
3890,76.0,0.142966962,246183
3900,76.0,0.143349246,246805
3910,76.0,0.143738573,247438
3920,77.0,0.144126982,248064
3930,77.0,0.144477048,248692
3940,77.0,0.144820552,249324
3950,76.0,0.145160054,249946
3960,76.0,0.145493093,250573
3970,76.0,0.145922578,251212
3980,76.0,0.14627613,251848
3990,76.0,0.146629048,252479
4000,76.0,0.147003929,253105
4010,76.0,0.147461818,253717
4020,76.0,0.147787651,254354
4030,76.0,0.148109966,254991
4040,76.0,0.148424363,255627
4050,76.0,0.148742931,256256
4060,76.0,0.149066304,256889
4070,76.0,0.149392014,257518
4080,77.0,0.149754713,258163
4090,76.0,0.150115965,258790
4100,76.0,0.150436722,259408
4110,76.0,0.150864584,260038
4120,76.0,0.151179114,260662
4130,78.0,0.151489258,261301
4140,76.0,0.151800547,261935
4150,76.0,0.152113412,262573
4160,76.0,0.152426103,263198
4170,76.0,0.152740346,263838
4180,76.0,0.153050456,264473
4190,76.0,0.153363125,265108
4200,76.0,0.153673981,265725
4210,76.0,0.153992374,266360
4220,76.0,0.154350278,266985
4230,76.0,0.154699585,267612
4240,76.0,0.155119665,268243
4250,76.0,0.155446008,268870
4260,77.0,0.155794219,269494
4270,77.0,0.156160453,270127
4280,77.0,0.156493197,270759
4290,77.0,0.156807862,271378
4300,76.0,0.157127538,272013
4310,77.0,0.157458258,272650
4320,76.0,0.157774077,273276
4330,76.0,0.158092788,273918
4340,76.0,0.158411244,274548
4350,76.0,0.158786555,275192
4360,76.0,0.159105599,275831
4370,77.0,0.159417868,276449
4380,77.0,0.15973226,277091
4390,78.0,0.16005163,277726
4400,78.0,0.160363169,278359
4410,78.0,0.160685433,279007
4420,76.0,0.161006616,279633
4430,77.0,0.161320995,280247
4440,77.0,0.161645279,280872
4450,78.0,0.161965372,281490
4460,77.0,0.16229228,282126
4470,78.0,0.162607562,282754
4480,78.0,0.162925844,283380
4490,78.0,0.163278122,284004
4500,78.0,0.163598267,284631
4510,78.0,0.163920038,285261
4520,76.0,0.164239895,285895
4530,76.0,0.164561768,286528
4540,76.0,0.164871824,287148
4550,76.0,0.165186114,287775
4560,77.0,0.165500741,288404
4570,77.0,0.165957499,289033
4580,76.0,0.16627261,289668
4590,77.0,0.166687281,290311
4600,77.0,0.167013426,290946
4610,76.0,0.167337061,291569
4620,76.0,0.167660414,292196
4630,77.0,0.167985141,292836
4640,78.0,0.16830981,293454
4650,78.0,0.168629986,294072
4660,77.0,0.17117045,294710
4670,77.0,0.171488371,295336
4680,77.0,0.171807643,295976
4690,77.0,0.172126458,296610
4700,77.0,0.172438987,297242
4710,77.0,0.172747178,297875
4720,77.0,0.17306356,298494
4730,78.0,0.173387956,299121
4740,77.0,0.173735148,299750
4750,77.0,0.174125574,300383
4760,77.0,0.174506615,301015
4770,77.0,0.174858286,301652
4780,77.0,0.175226038,302281
4790,77.0,0.175580405,302915
4800,77.0,0.175937783,303552
4810,73.0,0.176395769,304179
4820,73.0,0.176762736,304817
4830,73.0,0.17713039,305444
4840,76.0,0.177569541,306077
4850,76.0,0.177896166,306709
4860,75.0,0.178246706,307340
4870,76.0,0.17856961,307977
4880,76.0,0.178894821,308612
4890,76.0,0.179226213,309244
4900,76.0,0.179628403,309876
4910,76.0,0.180016655,310508
4920,76.0,0.180391544,311129
4930,76.0,0.180815294,311759
4940,76.0,0.181260489,312394
4950,77.0,0.181625953,313015
4960,76.0,0.182014399,313634
4970,77.0,0.182358229,314263
4980,77.0,0.182705421,314896
4990,76.0,0.183038699,315524
5000,76.0,0.183495147,316154
