iterations,fitness,time,fevals
0,15.0,0.000329635,428
10,16.0,0.000618591,758
20,16.0,0.000908524,1107
30,16.0,0.00119612,1427
40,20.0,0.001477791,1761
50,16.0,0.001747175,2094
60,20.0,0.002006772,2431
70,20.0,0.002270554,2768
80,20.0,0.002531511,3099
90,20.0,0.002792084,3433
100,22.0,0.003041882,3771
110,23.0,0.003289065,4099
120,23.0,0.003546547,4438
130,23.0,0.003803712,4778
140,23.0,0.00406378,5126
150,23.0,0.004317642,5464
160,26.0,0.004570619,5813
170,27.0,0.004821369,6160
180,26.0,0.005066664,6499
190,29.0,0.005308389,6840
200,32.0,0.005579905,7166
210,32.0,0.005880012,7501
220,33.0,0.006184004,7837
230,35.0,0.006485755,8174
240,35.0,0.006752036,8514
250,36.0,0.007015756,8844
260,36.0,0.007260609,9186
270,36.0,0.007512529,9535
280,37.0,0.007766077,9870
290,37.0,0.008026411,10209
300,36.0,0.008287459,10546
310,37.0,0.008562886,10884
320,37.0,0.009018087,11208
330,37.0,0.009501335,11549
340,37.0,0.009824008,11889
350,37.0,0.010125565,12217
360,36.0,0.010412107,12550
370,36.0,0.010738164,12879
380,36.0,0.011004841,13209
390,37.0,0.011279003,13542
400,37.0,0.011549065,13889
410,37.0,0.011817452,14224
420,38.0,0.0120799,14564
430,37.0,0.01234032,14904
440,42.0,0.012602845,15242
450,43.0,0.01285838,15581
460,43.0,0.013105378,15908
470,44.0,0.013357299,16249
480,43.0,0.013611793,16585
490,44.0,0.013866794,16917
500,44.0,0.014117222,17258
510,45.0,0.014371078,17589
520,44.0,0.014633851,17933
530,44.0,0.014898161,18271
540,45.0,0.015156177,18611
550,45.0,0.015413462,18950
560,45.0,0.0156687,19286
570,45.0,0.015916617,19621
580,45.0,0.016172234,19960
590,46.0,0.016460156,20298
600,45.0,0.016718651,20632
610,46.0,0.016969885,20962
620,46.0,0.01722133,21297
630,46.0,0.017466659,21640
640,46.0,0.017709332,21978
650,47.0,0.017946907,22317
660,49.0,0.018185305,22653
670,47.0,0.018421796,22986
680,49.0,0.018663557,23322
690,49.0,0.018900205,23650
700,48.0,0.019141792,23983
710,48.0,0.019401671,24321
720,49.0,0.019676776,24651
730,48.0,0.019939521,25002
740,47.0,0.020187903,25343
750,47.0,0.020437299,25689
760,48.0,0.020681017,26021
770,48.0,0.021000589,26356
780,48.0,0.021341751,26692
790,48.0,0.021596989,27019
800,48.0,0.021926257,27365
810,48.0,0.022212763,27710
820,49.0,0.022484119,28044
830,49.0,0.022732652,28381
840,49.0,0.022982624,28710
850,49.0,0.023231971,29033
860,49.0,0.023478374,29369
870,48.0,0.02373167,29702
880,49.0,0.024092478,30030
890,49.0,0.024341471,30366
900,48.0,0.024587432,30702
910,49.0,0.024832287,31039
920,49.0,0.025070327,31375
930,49.0,0.025310236,31710
940,49.0,0.025562545,32054
950,50.0,0.025796919,32386
960,49.0,0.026028788,32725
970,54.0,0.02625596,33057
980,54.0,0.026535672,33387
990,54.0,0.026769809,33720
1000,58.0,0.027013048,34044
1010,58.0,0.027259929,34376
1020,58.0,0.027509639,34705
1030,57.0,0.027754788,35036
1040,54.0,0.028029642,35366
1050,55.0,0.028291588,35703
1060,54.0,0.028524518,36023
1070,57.0,0.028759111,36353
1080,57.0,0.028995543,36681
1090,58.0,0.02923305,37017
1100,58.0,0.029473363,37359
1110,58.0,0.02971309,37696
1120,59.0,0.029950942,38034
1130,61.0,0.030180209,38367
1140,59.0,0.030413768,38703
1150,59.0,0.030647096,39034
1160,59.0,0.030881091,39356
1170,59.0,0.031108818,39694
1180,58.0,0.031353538,40028
1190,59.0,0.031584566,40372
1200,59.0,0.031824326,40698
1210,59.0,0.03206225,41033
1220,59.0,0.032297156,41364
1230,59.0,0.032533932,41698
1240,58.0,0.032769861,42039
1250,59.0,0.033003991,42369
1260,58.0,0.033239364,42699
1270,59.0,0.033485308,43037
1280,59.0,0.033727267,43374
1290,61.0,0.033966408,43699
1300,59.0,0.034211325,44041
1310,58.0,0.034449243,44375
1320,58.0,0.034679774,44706
1330,59.0,0.034914953,45043
1340,59.0,0.035155616,45379
1350,59.0,0.035396738,45714
1360,59.0,0.035649975,46048
1370,59.0,0.035965885,46386
1380,59.0,0.036277471,46710
1390,59.0,0.036583814,47057
1400,59.0,0.036871943,47398
1410,59.0,0.03710749,47730
