SA_iterations,fitness,time,fevals
0,0.0221110485245,8.75200021255e-06,11
10,0.0224351715777,1.75040004251e-05,21
20,0.0231620306596,2.5891000405e-05,31
30,0.0237372123994,3.42780003848e-05,41
40,0.0247905960761,4.30299987784e-05,51
50,0.0250208554827,5.14179973834e-05,61
60,0.0256692429405,5.98059978074e-05,71
70,0.0256700417039,6.855799802e-05,81
80,0.026027818775,7.69449979998e-05,91
90,0.0269814251583,8.56969982124e-05,101
100,0.0276148396644,9.40839981922e-05,111
110,0.027821759981,0.000104294998891,121
120,0.0284901774923,0.000121434997709,131
130,0.028819504657,0.000130551996335,141
140,0.0289093909044,0.000139303996548,151
150,0.0290203648256,0.00014805599676,161
160,0.0293271097678,0.000156443997184,171
170,0.0297809746501,0.000165195995578,181
180,0.0300102631768,0.000173583996002,191
190,0.0311152036013,0.000181606996193,201
200,0.0316861071673,0.000190358996406,211
210,0.0316861071673,0.000202392995561,221
220,0.0321995856835,0.000210415995753,231
230,0.0331100614362,0.000218802995732,241
240,0.0336869484037,0.000226825994105,251
250,0.0336869484037,0.000235212994085,261
260,0.0336869484037,0.000243599994064,271
270,0.0336869484037,0.000251987994488,281
280,0.0336869484037,0.000260374994468,291
290,0.0336869484037,0.00026839799466,301
300,0.0336869484037,0.000276419994407,311
310,0.0338874314998,0.000284807994831,321
320,0.0340453505642,0.000293194994811,331
330,0.0340689708333,0.000301946995023,341
340,0.0348920161075,0.000311062995024,351
350,0.0349001062121,0.000319449995004,361
360,0.0352895238019,0.000327836994984,371
370,0.0352895238019,0.000336223994964,381
380,0.0357393375618,0.000345340995409,391
390,0.0357393375618,0.000361386995792,401
400,0.0361589425111,0.000370503996237,411
410,0.036593620234,0.000378890996217,421
420,0.0373136549607,0.000387277996197,431
430,0.0375001249186,0.000395664996176,441
440,0.0375001249186,0.000403687996368,451
450,0.0375001249186,0.000412074996348,461
460,0.0375198982692,0.000420461996328,471
470,0.0375198982692,0.000428848996307,481
480,0.0380299611339,0.000450729996373,491
490,0.0383064664383,0.000458752996565,501
500,0.0383064664383,0.000467140996989,511
510,0.0384932262304,0.00047516399718,521
520,0.0384932262304,0.000483185996927,531
530,0.0384932262304,0.000491572996907,541
540,0.0389403201896,0.000499960997331,551
550,0.0389632439771,0.000508347997311,561
560,0.0389705999675,0.000516370997502,571
570,0.0393742235952,0.000524393995875,581
580,0.0393742235952,0.000532780995854,591
590,0.0393742235952,0.000541167995834,601
600,0.0396556705734,0.000549555996258,611
610,0.0396556705734,0.000557943996682,621
620,0.0396940552979,0.000566695996895,631
630,0.0401063255364,0.000575082996875,641
640,0.0407994584055,0.000583835997531,651
650,0.0407994584055,0.000592223996136,661
660,0.0407994584055,0.000600975996349,671
670,0.0407994584055,0.000616656996499,681
680,0.0412064540974,0.000626137994914,691
690,0.0412064540974,0.000634524994894,701
700,0.0412064540974,0.000643276995106,711
710,0.041302437292,0.000672814996506,721
720,0.041302437292,0.000681201996485,731
730,0.041413044928,0.000689588996465,741
740,0.041413044928,0.000697976996889,751
750,0.041413044928,0.000705999997081,761
760,0.041413044928,0.000714386997061,771
770,0.041413044928,0.000722409997252,781
780,0.041413044928,0.000744290997318,791
790,0.0416450306351,0.000752677997298,801
800,0.0416450306351,0.000760700997489,811
810,0.0416450306351,0.000768723995861,821
820,0.0417132727764,0.000777110995841,831
830,0.0417132727764,0.000785498996265,841
840,0.0417772875768,0.000793886996689,851
850,0.0417772875768,0.000802274997113,861
860,0.041804875495,0.000810661997093,871
870,0.041804875495,0.000818684997284,881
880,0.041804875495,0.000827072997708,891
890,0.041804875495,0.000841295997816,901
900,0.041804875495,0.000879950997842,911
910,0.041804875495,0.000910947997909,921
920,0.042234642963,0.000927722996494,931
930,0.042234642963,0.000937933995374,941
940,0.0424519057546,0.000946685993767,951
950,0.0424519057546,0.00095543799398,961
960,0.0424519057546,0.00096382499396,971
970,0.0424519057546,0.000972212994384,981
980,0.0424519057546,0.000980234994131,991
990,0.0424519057546,0.000988257994322,1001
1000,0.0424932014191,0.000996645994746,1011
1010,0.0424932014191,0.00100503299473,1021
1020,0.0424932014191,0.0010130559931,1031
