iterations,fitness,time,fevals
0,0.0196401353002,1.53170003614e-05,11
10,0.0197215623496,3.13620002999e-05,21
20,0.019068981339,4.01140005124e-05,31
30,0.0187412506101,4.92310009577e-05,41
40,0.0196100995672,5.79830011702e-05,51
50,0.0190859176861,9.0438999905e-05,61
60,0.0179372453809,0.000102108000647,71
70,0.0185331760959,0.000145138999869,81
80,0.0194332472519,0.000161914000273,91
90,0.018447186245,0.000171395000507,101
100,0.01804716769,0.000180876000741,111
110,0.0179038498743,0.000189993001186,121
120,0.0177900529289,0.000199109999812,131
130,0.0187239793476,0.000207862000025,141
140,0.018237334002,0.000216978000026,151
150,0.017937712714,0.000224999999773,161
160,0.0177449590639,0.000233751999986,171
170,0.0180000601555,0.000242138999965,181
180,0.0181659719299,0.000250525999945,191
190,0.017994110849,0.000266937000561,201
200,0.0189612995844,0.000276783001027,211
210,0.0186778150188,0.000285170001007,221
220,0.0192252780174,0.000296839001749,231
230,0.0180289558642,0.000335130001986,241
240,0.0186567121936,0.00035190500239,251
250,0.0193403263198,0.00036284500311,261
260,0.0183209555582,0.000371962003555,271
270,0.0166501781137,0.000381079004001,281
280,0.0173748140866,0.000389832004657,291
290,0.018349158434,0.00039858400487,301
300,0.0177821505195,0.000407700004871,311
310,0.0189033292439,0.000416452005084,321
320,0.0191069614038,0.000425205003921,331
330,0.0190114189979,0.00043359200572,341
340,0.0189833259001,0.0004419790057,351
350,0.0194432174562,0.000450367006124,361
360,0.0192424654045,0.000460578006823,371
370,0.0195670527677,0.000476988006994,381
380,0.0193634375823,0.000487928005896,391
390,0.0202989701036,0.000515643005201,401
400,0.0192735229458,0.000572167005885,411
410,0.0193425797154,0.000594776005528,421
420,0.0185895986875,0.00060826900517,431
430,0.0181429009157,0.000617386005615,441
440,0.0175133552539,0.000626868006293,451
450,0.0177709802049,0.000635620006506,461
460,0.0188626870006,0.000644372006718,471
470,0.0182393750457,0.000652760007142,481
480,0.0189993270746,0.000679746006426,491
490,0.0182206309652,0.00068813400685,501
500,0.0171399749276,0.00069652100683,511
510,0.0180494991588,0.000705274007487,521
520,0.0182217164313,0.000713662007911,531
530,0.0184088509798,0.000723508008377,541
540,0.0181901797342,0.000732625008823,551
